EXPENDITURE CATEGORY,COUNT
Works Contract Paymt,1
GMBATU Fees,1
Ceiling Track Hoist,1
After Adoption Support,1
SLA Internal Audit,1
Awards,1
Trade Refuse Charges,1
Schge - Tanning Court,1
Junior Stock,1
CRA2 Site Maintenance,1
Credit Visits Expenditure,1
Consumables,1
Recharge - Asset Management & Street Works,1
DT - General Office Expense,1
Covid-19 Local Restrictions Support Grant BLOCKED,1
Travel Allowance,1
SLA - Childcare,1
Equipment & Furniture Capital Expenditure (Schools,1
Contract Works,1
Transport-F.E.,1
Covid-19 Household Support Fund 4 - April 2023,1
